티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
011300,성안머티리얼스,27551538,26330258,-1221280,10945021514,10443186789,-501834725,,,
011330,유니켐,3617092,2933789,-683303,4416616296,3565495303,-851120993,,,
011390,부산산업,171592,171314,-278,14074421750,14099560550,25138800,,,
011420,갤럭시아에스엠,1671749,1751299,79550,3247142007,3402153034,155011027,,,
011500,한농화성,11384741,11249012,-135729,294094843375,290931440275,-3163403100,,,
011690,와이투솔루션,34924707,35023143,98436,252366075805,252091934735,-274141070,,,
011700,한신기계,56941642,57128274,186632,288360058744,289942780780,1582722036,,,
011760,현대코퍼레이션,1082828,968607,-114221,27754496700,24705576750,-3048919950,,,
011780,금호석유화학,489128,401445,-87683,70209131000,56931921700,-13277209300,,,
011785,금호석유화학우,74434,65859,-8575,5037280300,4446566650,-590713650,,,
011790,SKC,1997259,2212876,215617,225399951750,247322954400,21923002650,,,
011810,STX,34779507,35465681,686174,232770709215,236782668940,4011959725,,,
012030,DB,56265443,61748879,5483436,114883551644,126419643037,11536091393,,,
0120G0,삼양바이오팜,1036606,1016166,-20440,108856402500,106066420750,-2789981750,,,
012160,영흥,14747885,15242758,494873,10006117429,10368433388,362315959,,,
012170,아센디오,1981769,2163842,182073,3357734634,3692010594,334275960,,,
012200,계양전기,14691265,14763439,72174,114439107600,115329542995,890435395,,,
012205,계양전기우,1015484,1016696,1212,7100024570,7110552790,10528220,,,
012280,영화금속,4052317,3580876,-471441,4042755751,3573769506,-468986245,,,
012320,경동인베스트,491813,508256,16443,38081718600,39459505550,1377786950,,,
012330,현대모비스,950501,890975,-59526,417995814750,391002812500,-26993002250,,,
012510,더존비즈온,2726049,2244023,-482026,290767138800,205856192250,-84910946550,,,
012600,센트럴인사이트,61913586,62961766,1048180,327592330785,337146714590,9554383805,,,
012610,경인양행,10552032,10018044,-533988,51808017206,49239338092,-2568679114,,,
012630,HDC,1678899,1641010,-37889,35896219560,34918384850,-977834710,,,
012690,모나리자,2466401,2287946,-178455,5466419324,5089321514,-377097810,,,
0126Z0,삼성에피스홀딩스,1069404,820628,-248776,662980365500,503493759500,-159486606000,,,
012750,에스원,115304,39788,-75516,10021959500,3497444600,-6524514900,,,
012800,대창,27808298,26950226,-858072,41654206580,40417146985,-1237059595,,,
013000,세우글로벌,680510,488656,-191854,772867273,554907346,-217959927,,,
013360,일성건설,7356677,7052307,-304370,14979823288,14322078892,-657744396,,,
013520,화승코퍼레이션,3790099,3394758,-395341,9698713544,8700702340,-998011204,,,
013570,디와이,2014543,1754840,-259703,10726236241,9354873610,-1371362631,,,
013580,계룡건설,1702076,1677619,-24457,42652681075,41835095125,-817585950,,,
013700,까뮤이앤씨,4778552,4741646,-36906,6793030083,6780865056,-12165027,,,
013870,지엠비코리아,3280271,3312878,32607,18916201350,19187354290,271152940,,,
013890,지누스,423222,450533,27311,5329903740,5570461785,240558045,,,
014130,한익스프레스,457657,445135,-12522,1272173724,1238996269,-33177455,,,
014160,대영포장,5486306,5063482,-422824,5884026377,5419493127,-464533250,,,
014280,금강공업,3163942,2979521,-184421,19929493715,18727463015,-1202030700,,,
014285,금강공업우,118852,118842,-10,961035860,960955080,-80780,,,
014440,영보화학,883920,888887,4967,4232683098,4255439332,22756234,,,
014530,극동유화,3454310,3306821,-147489,12502674859,12007390481,-495284378,,,
014580,태경비케이,1644776,1515588,-129188,7704785920,7102379648,-602406272,,,
014680,한솔케미칼,236258,228300,-7958,69612061750,67105643500,-2506418250,,,
014710,사조씨푸드,882458,747340,-135118,8207704350,6916264365,-1291439985,,,
014790,HL D&I,2216515,1653944,-562571,7529914676,5553788390,-1976126286,,,
014820,동원시스템즈,318668,327851,9183,9110059850,9315791325,205731475,,,
014825,동원시스템즈우,4442,4457,15,76493210,76754300,261090,,,
014830,유니드,270594,157360,-113234,21907138000,12775230850,-9131907150,,,
014910,성문전자,7064326,6960743,-103583,13592532751,13458570982,-133961769,,,
014915,성문전자우,62311,62311,0,289760025,289760025,0,,,
014990,인디에프,6395646,6676113,280467,5523761267,5804823832,281062565,,,
015020,이스타코,8066728,7667162,-399566,3961671434,3794934753,-166736681,,,
015230,대창단조,1550171,1353359,-196812,10719628685,9355535520,-1364093165,,,
015260,에이엔피,30900880,30954946,54066,18428224265,18606059679,177835414,,,
015350,부산가스,1627587,1803428,175841,75010973800,82209796600,7198822800,,,
