date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2022-10-05,35600.0,265108.0,0.0,0.0,-0.0,0.0,-0.10119,0.0,ohlcv_proxy,,,,
2022-10-06,35800.0,169821.0,0.0,0.0,-0.0,0.0,-0.092715,0.0,ohlcv_proxy,,,,
2022-10-07,36000.0,191309.0,0.0,0.0,-0.0,0.0,-0.079723,0.0,ohlcv_proxy,,,,
2022-10-11,34700.0,177746.0,0.0,0.0,-0.0,0.0,-0.060364,0.0,ohlcv_proxy,,,,
2022-10-12,35450.0,239009.0,0.0,0.0,-0.0,0.0,-0.054002,0.0,ohlcv_proxy,,,,
2022-10-13,34050.0,179326.0,0.0,0.0,-0.0,0.0,-0.054075,0.0,ohlcv_proxy,,,,
2022-10-14,36100.0,253850.0,0.0,0.0,-0.0,0.0,-0.044284,0.0,ohlcv_proxy,,,,
2022-10-17,35600.0,217439.0,0.0,0.0,-0.0,0.0,-0.040638,0.0,ohlcv_proxy,,,,
2022-10-18,37650.0,252547.0,0.0,0.0,0.0,0.0,-0.01965,0.0,ohlcv_proxy,,,,
2022-10-19,36000.0,160405.0,0.0,0.0,-0.0,0.0,-0.010774,0.0,ohlcv_proxy,,,,
2022-10-20,36100.0,235742.0,0.0,0.0,-0.0,0.0,0.004074,0.0,ohlcv_proxy,,,,
2022-10-21,34550.0,171077.0,0.0,0.0,-0.0,0.0,0.003853,0.0,ohlcv_proxy,,,,
2022-10-24,36450.0,335454.0,0.0,0.0,0.0,0.0,0.013493,0.0,ohlcv_proxy,,,,
2022-10-25,36050.0,178478.0,0.0,0.0,-0.0,0.0,0.005975,0.0,ohlcv_proxy,,,,
2022-10-26,35500.0,185931.0,0.0,0.0,-0.0,0.0,0.005279,0.0,ohlcv_proxy,,,,
2022-10-27,36850.0,196924.0,0.0,0.0,0.0,0.0,0.009524,0.0,ohlcv_proxy,,,,
2022-10-28,35650.0,167099.0,0.0,0.0,-0.0,0.0,0.013352,0.0,ohlcv_proxy,,,,
2022-10-31,34450.0,265979.0,0.0,0.0,-0.0,0.0,-0.001749,0.0,ohlcv_proxy,,,,
2022-11-01,35750.0,259625.0,0.0,0.0,-0.0,0.0,-0.005078,0.0,ohlcv_proxy,,,,
2022-11-02,35700.0,170023.0,0.0,0.0,-0.0,0.0,-0.004037,0.0,ohlcv_proxy,,,,
2022-11-03,35900.0,102644.0,0.0,0.0,-0.0,0.0,-0.010636,0.0,ohlcv_proxy,,,,
2022-11-04,36050.0,89923.0,0.0,0.0,0.0,0.0,-0.010289,0.0,ohlcv_proxy,,,,
2022-11-07,37250.0,178234.0,0.0,0.0,0.0,0.0,0.008508,0.0,ohlcv_proxy,,,,
2022-11-08,37650.0,169109.0,0.0,0.0,0.0,0.0,0.018874,0.0,ohlcv_proxy,,,,
2022-11-09,37850.0,168399.0,0.0,0.0,0.0,0.0,0.029956,0.0,ohlcv_proxy,,,,
2022-11-10,37650.0,145114.0,0.0,0.0,0.0,0.0,0.033052,0.0,ohlcv_proxy,,,,
2022-11-11,38850.0,203581.0,0.0,0.0,0.0,0.0,0.042108,0.0,ohlcv_proxy,,,,
2022-11-14,38350.0,185680.0,0.0,0.0,0.0,0.0,0.044383,0.0,ohlcv_proxy,,,,
2022-11-15,39450.0,99416.0,0.0,0.0,0.0,0.0,0.051588,0.0,ohlcv_proxy,,,,
