날짜,Open,High,Low,Close,Volume
2021-09-10,10265,10289,10235,10250,160206
2021-09-13,10255,10324,10255,10314,232317
2021-09-14,10304,10304,10260,10270,189064
2021-09-15,10279,10289,10250,10265,149807
2021-09-16,10235,10274,10225,10274,210914
2021-09-17,10299,10344,10294,10299,227925
2021-09-23,10364,10398,10314,10314,589360
2021-09-24,10289,10329,10270,10319,586115
2021-09-27,10344,10344,10289,10304,303873
2021-09-28,10334,10383,10334,10383,228252
2021-09-29,10418,10418,10369,10369,339344
2021-09-30,10403,10418,10374,10383,226813
2021-10-01,10388,10423,10383,10413,179789
2021-10-05,10393,10428,10378,10428,260547
2021-10-06,10403,10463,10398,10463,233212
2021-10-07,10428,10448,10413,10433,300925
2021-10-08,10438,10478,10428,10468,340844
2021-10-12,10487,10522,10487,10512,264645
2021-10-13,10512,10512,10458,10468,405741
2021-10-14,10408,10433,10388,10393,328952
2021-10-15,10383,10383,10349,10354,449097
2021-10-18,10383,10413,10369,10413,261058
2021-10-19,10378,10393,10334,10334,188915
2021-10-20,10314,10334,10274,10284,265470
2021-10-21,10299,10329,10284,10319,122092
2021-10-22,10329,10344,10319,10319,130425
2021-10-25,10319,10324,10230,10230,221285
2021-10-26,10230,10255,10200,10220,167898
2021-10-27,10235,10265,10215,10255,154380
2021-10-28,10274,10289,10250,10255,147179
2021-10-29,10240,10260,10235,10240,154862
2021-11-01,10274,10324,10274,10309,319904
2021-11-02,10319,10319,10289,10294,172212
2021-11-03,10314,10354,10314,10349,130083
2021-11-04,10314,10359,10304,10354,103206
2021-11-05,10383,10393,10369,10388,234021
2021-11-08,10354,10388,10349,10359,136123
2021-11-09,10359,10359,10309,10319,190401
2021-11-10,10319,10364,10319,10349,83376
2021-11-11,10374,10398,10349,10349,150838
2021-11-12,10349,10354,10304,10339,91444
2021-11-15,10334,10354,10314,10319,119948
2021-11-16,10354,10364,10294,10324,122884
2021-11-17,10349,10388,10344,10349,181404
2021-11-18,10349,10359,10309,10329,97894
2021-11-19,10349,10378,10334,10369,125359
2021-11-22,10413,10423,10378,10378,137028
2021-11-23,10413,10418,10393,10418,129055
2021-11-24,10418,10423,10383,10383,71558
2021-11-25,10403,10423,10398,10418,131215
2021-11-26,10418,10453,10413,10438,118881
2021-11-29,10468,10468,10423,10443,165870
2021-11-30,10413,10423,10383,10398,96391
2021-12-01,10359,10378,10309,10319,415599
2021-12-02,10329,10329,10284,10294,320650
2021-12-03,10304,10334,10294,10319,157924
2021-12-06,10354,10378,10334,10354,153808
2021-12-07,10334,10364,10324,10329,63912
2021-12-08,10309,10319,10284,10294,121797
2021-12-09,10270,10289,10270,10274,87362
